num,MAE_ct,MAE_eta,IGD,,,,
40,0.507528218,2.498456459,0.697116267,40,0.101915548,0.961213788,5.075608132
56,0.485069473,2.743771161,0.697115789,56,0.173430866,1.471302954,5.074954227
72,0.52566891,3.32933993,0.697117024,72,0.235571626,2.353551954,5.074788506
88,0.557493028,3.666105963,0.697116274,88,0.283052114,3.206563218,5.074835514
104,0.557545518,3.884590592,0.697116051,104,0.222647176,3.644961321,5.074793678
120,0.557648317,3.960468959,0.697116254,120,0.246070123,3.874925126,5.074853947
136,0.557649892,3.988051112,0.69711619,136,0.182445797,3.664349187,5.074785144
152,0.557662106,3.954801886,0.697116483,152,0.223958493,3.793129775,5.074989727
168,0.557645289,3.911929441,0.697114475,168,0.264264762,3.877504089,5.074933574
184,0.557667457,3.978675877,0.697116241,184,0.282554492,3.967085626,5.074832859
200,0.557687355,3.971362295,0.697117085,200,0.301507029,4.127926436,5.074785496
216,0.557704223,3.948008185,0.697116263,216,0.30083255,4.445654367,5.074791304
232,0.557720832,4.001449315,0.697115895,232,0.300585998,4.521937381,5.074810799
248,0.567407161,3.967202932,0.697117795,264,0.221654399,2.353304747,5.075232268
264,0.577617931,3.978434529,0.697115975,280,0.161028412,2.597373082,5.074834323
280,0.587698563,3.983649786,0.69711646,296,0.201966497,2.955966435,5.075092548
296,0.597696944,3.971582377,0.697121169,312,0.241984537,3.210544733,5.074976974
312,0.607701259,3.965547011,0.697116599,328,0.281865249,3.510547123,5.074902741
328,0.61767812,3.943913922,0.697116909,344,0.301171211,3.829014686,5.076592918
40,0.015742763,3.03209389,5.074785157,360,0.300666839,3.998611004,5.091539483
56,0.039865348,3.686314745,5.075657314,376,0.300358929,4.193380521,5.074807386
72,0.055641814,3.935472691,5.074783707,392,0.300171932,4.316515027,5.075176233
88,0.066363691,3.966338352,5.074792271,424,0.220571945,2.364729446,5.077668911
104,0.086481899,4.053934997,5.076663773,440,0.240612628,3.003927707,5.074935128
120,0.087419531,4.011277484,5.07484927,472,0.200559249,2.252804554,5.081643566
136,0.081051594,3.945298963,5.074785654,488,0.240582749,2.368581359,5.075667129
152,0.079434892,3.881176047,5.074791199,504,0.260322257,2.741038081,5.075790477
168,0.06333221,3.853257589,5.074895088,,,,
184,0.076404926,3.837618958,5.075799936,,,,
200,0.084247295,3.86530822,5.075445117,,,,
216,0.104323464,3.951894148,5.075716825,,,,
232,0.036804001,3.937468664,5.074786528,,,,
248,0.030243849,4.054182907,5.07479881,,,,
264,0.030031932,4.070169007,5.074784083,,,,
280,0.030017608,4.176460166,5.07480077,,,,
296,0.030014687,4.160146499,5.074963213,,,,
312,0.112017057,4.077027046,5.074838255,,,,
328,0.186022343,3.90760789,5.074795522,,,,
344,0.242017058,3.911659309,5.074796479,,,,
360,6.112920555,3.866509784,5.074784581,,,,
376,6.425566581,3.916815747,5.078064153,,,,
392,6.120781258,3.914759847,5.07505645,,,,
424,0.157108581,3.912111885,5.074901115,,,,
440,0.025418274,3.915228072,5.074797297,,,,
456,0.063213655,3.84858206,5.074807966,,,,
472,0.1571757,4.071703957,5.075204502,,,,
488,0.362056859,4.074826642,5.074863195,,,,
504,0.321025186,3.912108072,5.07478552,,,,
520,0.490544478,4.041203877,5.076339253,,,,
536,0.530929244,4.158519746,5.074827302,,,,
552,0.569593679,4.167383562,5.074831383,,,,
568,0.588834193,4.260723203,5.074847122,,,,
584,0.523751151,4.228799182,5.075143098,,,,
600,0.778528138,4.208268112,5.074860645,,,,
616,0.959506283,4.071510269,5.077786686,,,,
632,1.08603922,4.05669893,5.07508935,,,,
648,0.868818613,3.998634669,5.074804993,,,,
664,1.02773741,4.044663696,5.074957738,,,,
680,1.214421729,4.009123674,5.075093287,,,,
696,1.211322811,3.941760186,5.077078497,,,,
712,1.403658497,3.957520714,5.074986368,,,,
728,1.350622509,3.997733792,5.076243835,,,,
744,1.31378521,3.98538532,5.074954253,,,,
760,1.389025952,3.868919442,5.074834899,,,,
776,1.622727693,3.953893871,5.074925781,,,,
792,1.294586419,3.953649022,5.07773219,,,,
808,1.530743949,3.934343301,5.075340033,,,,
824,1.485369303,3.933992075,5.076250501,,,,
840,1.521134331,3.959066568,5.07569502,,,,
856,1.743035965,4.042167183,5.074939677,,,,
872,1.72777557,3.938968329,5.074863129,,,,
888,1.830733777,4.011319818,5.075714702,,,,
904,1.671380346,3.90538731,5.074850064,,,,
920,1.890700311,4.094943778,5.074920917,,,,
936,1.573237616,4.096023718,5.074990622,,,,
952,1.621629436,4.13707499,5.074838961,,,,
968,1.798281825,4.034102024,5.076800044,,,,
984,1.757309656,4.131165947,5.096311082,,,,
1000,1.682033562,4.057821229,5.076207781,,,,
1016,1.690462634,4.039502115,5.074787439,,,,
1032,1.82015205,3.952753402,5.075734861,,,,
1048,1.761990121,3.8711337,5.074829244,,,,
1064,1.757661239,3.706810729,5.075036095,,,,
1080,1.915091657,3.673618987,5.07492198,,,,
1096,4.949851762,4.1060248,5.075578364,,,,
1112,5.138913372,3.894462524,5.075252856,,,,
1128,4.796281276,4.042103359,5.075497423,,,,
1144,4.637325866,4.102218148,5.093032248,,,,
1160,2.004386635,4.117071713,5.075333992,,,,
1176,2.161999373,4.074220846,5.075173379,,,,
1192,2.415508742,4.0843564,5.075754124,,,,
1208,2.603125346,3.82635912,5.07658783,,,,
1224,2.814492528,3.815798644,5.078573921,,,,
1240,3.124197582,3.690205979,5.076836352,,,,
1256,3.304742686,3.703455285,5.074784713,,,,
1272,3.303579991,3.759012311,5.076729381,,,,
1288,3.573103894,4.052917446,5.07512863,,,,
1304,3.10689516,4.006900058,5.074821137,,,,
1320,3.271123298,4.144999234,5.075176522,,,,
1336,2.976589045,4.223802536,5.074792783,,,,
1352,3.272160137,4.019813738,5.075195312,,,,
1368,3.153334105,3.728727109,5.078476882,,,,
1384,3.058369197,3.731924352,5.074810348,,,,
40,0.101915548,0.961213788,5.075608132,,,,
56,0.173430866,1.471302954,5.074954227,,,,
72,0.235571626,2.353551954,5.074788506,,,,
88,0.283052114,3.206563218,5.074835514,,,,
104,0.222647176,3.644961321,5.074793678,,,,
120,0.246070123,3.874925126,5.074853947,,,,
136,0.182445797,3.664349187,5.074785144,,,,
152,0.223958493,3.793129775,5.074989727,,,,
168,0.264264762,3.877504089,5.074933574,,,,
184,0.282554492,3.967085626,5.074832859,,,,
200,0.301507029,4.127926436,5.074785496,,,,
216,0.30083255,4.445654367,5.074791304,,,,
232,0.300585998,4.521937381,5.074810799,,,,
264,0.221654399,2.353304747,5.075232268,,,,
280,0.161028412,2.597373082,5.074834323,,,,
296,0.201966497,2.955966435,5.075092548,,,,
312,0.241984537,3.210544733,5.074976974,,,,
328,0.281865249,3.510547123,5.074902741,,,,
344,0.301171211,3.829014686,5.076592918,,,,
360,0.300666839,3.998611004,5.091539483,,,,
376,0.300358929,4.193380521,5.074807386,,,,
392,0.300171932,4.316515027,5.075176233,,,,
424,0.220571945,2.364729446,5.077668911,,,,
440,0.240612628,3.003927707,5.074935128,,,,
472,0.200559249,2.252804554,5.081643566,,,,
488,0.240582749,2.368581359,5.075667129,,,,
504,0.260322257,2.741038081,5.075790477,,,,
